,Rank,Rank Opp.,Int. Age,Opp. Age,Sport_MMA,Sport_Tennis,Interviewee_Andy Ruiz,Interviewee_Anthony Djoshua,Interviewee_Bogdan Dinu,Interviewee_David Gofen,Interviewee_Grigor Dimitrov,Interviewee_Hughie Fury,Interviewee_Kubrat Pulev,Interviewee_Mario Cilic,Interviewee_Nikolas Basilashvili,Interviewee_Svetlozar Savov,Interviewee_Tommy Robredo,Opponent_Andy Ruiz,Opponent_Anthony Djoshua,Opponent_Dominic Thiem,Opponent_Grigor Dimitrov,Opponent_Kubrat Pulev,Opponent_Piotr Strus,Opponent_Roger Federer,Opponent_Stan Wawrinka,Psychics_3,Psychics_4,Psychics_5,Prev. Match_N,Prev. Match_W,Prev. Match_Y,Confidence_2,Confidence_3,Confidence_4,Confidence_5,year_2014,year_2015,year_2018,year_2019,dayofyear_119,dayofyear_149,dayofyear_151,dayofyear_246,dayofyear_278,dayofyear_319,week_4,week_12,week_17,week_22,week_36,week_40,week_46,dayofweek_1,dayofweek_2,dayofweek_3,dayofweek_4,dayofweek_5,is_int_prime_age_1,is_opp_prime_age_1,age_gap_0.2894736842105263,age_gap_0.3421052631578947,age_gap_0.5,age_gap_0.6052631578947368,age_gap_0.631578947368421,age_gap_0.6842105263157894,age_gap_0.763157894736842,age_gap_0.8684210526315789,age_gap_0.9210526315789473,Class
28,0.025830258302583026,0.011070110701107009,0.6153846153846153,0.31818181818181823,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0
29,0.01845018450184502,0.011070110701107009,0.0,0.31818181818181823,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,0.07749077490774907,0.1033210332103321,0.641025641025641,0.18181818181818174,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
31,0.011070110701107009,0.025830258302583026,0.6153846153846153,0.31818181818181823,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
32,0.1033210332103321,0.08856088560885607,0.5641025641025641,0.40909090909090906,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1
33,0.011070110701107009,0.5535055350553505,0.6153846153846153,0.31818181818181823,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,1
34,0.1033210332103321,0.16974169741697415,0.5641025641025641,0.5000000000000001,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
35,0.1808118081180812,0.04059040590405904,0.6153846153846153,0.2727272727272728,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
36,0.033210332103321034,0.01845018450184502,0.6153846153846153,0.7272727272727274,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
37,0.19188191881918815,0.1033210332103321,0.6666666666666666,0.6818181818181818,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
38,0.04059040590405904,1.0,0.6153846153846153,0.7272727272727274,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
39,0.13653136531365312,0.033210332103321034,0.5897435897435896,0.5454545454545455,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
40,0.007380073800738006,0.15498154981549814,0.5897435897435896,0.2272727272727272,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
41,0.06642066420664207,0.1808118081180812,0.7179487179487178,0.40909090909090906,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
42,0.059040590405904064,0.1808118081180812,0.5897435897435896,0.31818181818181823,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
43,0.003690036900369004,0.007380073800738006,0.7692307692307692,0.6363636363636364,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
44,0.007380073800738006,0.1808118081180812,0.7948717948717948,0.40909090909090906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
45,0.011070110701107009,0.014760147601476013,0.923076923076923,0.2727272727272728,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
46,0.01845018450184502,0.033210332103321034,0.8461538461538459,0.31818181818181823,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1
47,0.1033210332103321,0.19188191881918815,0.8205128205128205,0.40909090909090906,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
48,0.022140221402214017,0.007380073800738006,0.4358974358974359,0.5454545454545455,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,1.0,0.04059040590405904,0.8461538461538459,0.31818181818181823,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
