Sport,Interviewee,Opponent,Is_male,Rank,Rank Opp.,Int. Age,Opp. Age,Health,Psychics,Prev. Match,Confidence,day,dayofweek,dayofyear,hour,month,quarter,week,weekday,weekofyear,year,Class
Tennis,Maria Sharapova,Cvetana Pironkova,0,0.007380074,0.15498155,0.58974359,0.227272727,H,3,W,0.5,0.896551724,0.5,0.533742331,0,0.5,0.333333333,0.531914894,0.5,0.531914894,0.222222222,1
Tennis,Mario Cilic,Grigor Dimitrov,1,0.066420664,0.180811808,0.717948718,0.409090909,H,4,N,0.75,0.931034483,0.333333333,0.438650307,0,0.4,0.333333333,0.446808511,0.333333333,0.446808511,1,0
Tennis,Nikolas Basilashvili,Grigor Dimitrov,1,0.05904059,0.180811808,0.58974359,0.318181818,H,2,N,0,0,0.5,0.920245399,0,1,1,0.914893617,0.5,0.914893617,0.777777778,0
Tennis,Novak Djokovic,Rafael Nadal,1,0.003690037,0.007380074,0.769230769,0.636363636,H,3,W,0.5,0.862068966,1,0.064417178,0,0,0,0.063829787,1,0.063829787,1,1
Tennis,Rafael Nadal,Grigor Dimitrov,1,0.007380074,0.180811808,0.794871795,0.409090909,A,4,W,0.5,0.551724138,0.333333333,0.312883436,0,0.3,0.333333333,0.319148936,0.333333333,0.319148936,0.888888889,1
Tennis,Roger Federer,Dominic Thiem,1,0.011070111,0.014760148,0.923076923,0.272727273,H,3,L,0.25,0.103448276,0.833333333,0.834355828,0,0.9,1,0.829787234,0.833333333,0.829787234,1,0
Tennis,Roger Federer,Grigor Dimitrov,1,0.018450185,0.033210332,0.846153846,0.318181818,S,3,W,0.5,0.172413793,0.833333333,0.840490798,0,0.9,1,0.829787234,0.833333333,0.829787234,0.777777778,1
Tennis,Stan Wawrinka,Grigor Dimitrov,1,0.103321033,0.191881919,0.820512821,0.409090909,A,3,W,0.5,1,0.666666667,0.444785276,0,0.4,0.333333333,0.446808511,0.666666667,0.446808511,1,1
Tennis,Stefanos Cicipas,Rafael Nadal,1,0.022140221,0.007380074,0.435897436,0.545454545,H,3,N,0.5,0.931034483,1,0.346625767,0,0.3,0.333333333,0.340425532,1,0.340425532,0.888888889,0
Tennis,Tommy Robredo,Grigor Dimitrov,1,1,0.040590406,0.846153846,0.318181818,H,5,Y,0.75,1,0.333333333,0.444785276,0,0.4,0.333333333,0.446808511,0.333333333,0.446808511,0.777777778,0
